"","CensusTract","lng1","lat1","lng2","lat2","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","centerlat","centerlng"
"97",32003003232,-115.288745,36.279118,-115.287823,36.277294,"Nevada","Clark County",6647,3298,3349,10,74.7,6,0.5,3.8,0,4661,110590,13932,47209,6331,7,7.9,37.8,23,24.7,7.9,6.5,84.2,7.4,0,0.4,2.2,5.7,27.8,2944,78.4,15.6,5.7,0.3,6.2,36.278206,-115.288284
"98",32003003262,-115.33947,36.20256,-115.328947,36.193644,"Nevada","Clark County",2917,1449,1468,2.9,87.8,2.3,0.4,6.2,0.3,2829,60513,4817,46591,6016,3.5,NA,24.5,17.4,46.2,4.9,7.1,89.9,4.9,0,0,0,5.2,21.1,368,71.2,18.8,10.1,0,9.6,36.198102,-115.3342085
"99",32003005716,-115.085703,35.950131,-115.084113,35.946215,"Nevada","Clark County",4123,1965,2158,2.4,75.6,2.6,0,17.1,0.6,3975,68786,4421,44371,3917,4.9,0,42.4,13.2,33.8,1.1,9.4,67.4,2.5,0,0,1.1,29,24.6,997,85,8.7,6.3,0,6.9,35.948173,-115.084908
"100",32003003208,-115.272228,36.237184,-115.269824,36.235245,"Nevada","Clark County",3330,1657,1673,10.1,77.5,1.5,0.1,7.2,0.2,2464,110833,10337,40442,5316,2.6,1.6,51.1,15.4,22.9,7,3.6,76.1,9.7,1.4,0,0.4,12.5,25,1418,74.2,17.3,8.5,0,10.3,36.2362145,-115.271026
"101",32003001003,-115.212414,36.159101,-115.205856,36.153459,"Nevada","Clark County",3897,1754,2143,39.3,37.4,9.1,0,5.2,0,2555,46546,3941,22119,2324,18.5,31.1,27.7,25.2,31.1,8.4,7.6,69.7,8.6,6.9,8.2,4.6,2,19.6,1957,82.4,14.1,3.5,0,5.4,36.15628,-115.209135
"102",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"103",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"104",32003001901,-115.123261,36.144326,-115.118691,36.140702,"Nevada","Clark County",5210,2737,2473,56.3,23.1,9,0,9.2,0.6,2690,30438,5970,18006,3686,18.7,19.2,13.7,49.7,26,4.8,5.9,72.3,8.5,10.5,2.5,4.2,2,23.8,2600,93.1,4.5,2.5,0,12.5,36.142514,-115.120976
"105",32003002952,-115.263252,36.118314,-115.260992,36.114649,"Nevada","Clark County",2529,1219,1310,4.8,57.4,12.8,0.5,23.1,0,1782,46417,11754,25916,3084,7.4,4.7,23.9,41.1,29.6,0.7,4.7,64.8,15.8,6,3.1,3.2,7,22.7,1174,89.7,9.7,0.6,0,9.8,36.1164815,-115.262122
"106",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"107",32003002837,-115.140829,36.045685,-115.137397,36.042602,"Nevada","Clark County",6036,2802,3234,17.4,62.8,7.7,1.1,6.5,1,4715,83057,14880,40150,7547,4.3,0,31.6,30.2,21.7,8.7,7.8,83.7,6.3,2.3,2.8,2.6,2.3,18.3,3111,83.9,14.7,1.4,0,6.9,36.0441435,-115.139113
"108",32003002843,-115.126157,35.998995,-115.125752,35.998835,"Nevada","Clark County",10028,5040,4988,20.7,42.8,7.7,0,20.3,2.5,6651,74925,5229,30543,4026,2.9,3.8,33.5,20.1,30.5,4.8,11.1,87.3,5.1,0.7,0,2.5,4.5,22.5,5665,86.5,8.7,4.8,0,3.8,35.998915,-115.1259545
"109",32003001718,-115.058657,36.106317,-115.050955,36.100345,"Nevada","Clark County",2650,1521,1129,59.3,25.5,7.5,0,0.6,5.1,1256,33359,4971,15752,1909,30.3,51.2,4.6,58,19.3,8,10.1,64.3,3,19.6,1.6,11.1,0.4,31.5,1194,97,0,3,0,18,36.103331,-115.054806
"110",32003003261,-115.283907,36.16338,-115.280898,36.161245,"Nevada","Clark County",2341,952,1389,33.9,50.7,5.7,0,6.3,1.1,1790,56719,11409,31980,5777,19.9,34.2,24.4,24.9,34.8,4.1,11.8,80.3,11.9,2,0,4.5,1.3,19.8,1233,81.4,13.3,5.3,0,3.2,36.1623125,-115.2824025
